"Marca temporal","¿Cuál es tu rango de edad?","¿Cuál es tu rango de ingreso mensual?","¿Cuántas aplicaciones bancarias o financieras utilizas activamente?","¿Conoces qué es una fintech?","¿Qué tipo de instituciones financiera utilizas con mayor frecuencia?","¿Cuáles Fintechs utilizas? (Selección múltiple)","Si utilizas fintechs, ¿qué te preocupa de usarlas? (Selección múltiple)","¿Dirías que prefieres Fintechs sobre Bancos tradicionales?","Si la anterior pregunta fue que tienes usos diferentes para Fintechs y Bancos Tradicionales responde que usos si no, escribe NA. ","Si has utilizado tanto Fintechs como bancos tradicionales, ¿qué factor influyó MÁS en tu preferencia?","¿Qué tan difícil te resulta completar una transacción típica (transferencia, pago de servicio) en tu app bancaria principal?","Pensando en la última vez que usaste tu app bancaria, ¿qué fue lo que más te FRUSTRÓ? (Selección múltiple)","Y ¿qué fue lo que más te GUSTÓ? (Selección múltiple)","Cuando tienes un problema con tu banco, ¿qué tipo de atención prefieres?","¿Qué tanto confías en tu institución financiera principal para manejar tu dinero y datos personales?","¿Has tenido alguna vez una preocupación de seguridad con una institución financiera? Si fue así, ¿qué la causó? (Selección múltiple)","¿Cuál es tu banco principal?","¿Qué te haría cambiar de banco? (Selección múltiple)","¿Qué tipo de beneficios valoras más de tu banco? (Selección múltiple, máximo 3)","¿Qué tan importante es para ti tener acceso fácil a sucursales físicas?"
"2026/04/26 1:08:53 p.m. GMT-6","18-25","Menos de $10,000 MXN","2","He escuchado el término pero no estoy seguro","Banca tradicional","Nu (Nu Bank)","Seguridad de mi dinero;Riesgo tecnológico (caídas, hackeos)","Si","NA","Rápidez","1","Errores o caídas;Login o autenticación","Velocidad;Diseño y facilidad de uso;Funciones disponibles;Notificaciones útiles;Seguridad (biometría, alertas)","Depende del tipo de problema","3","No he tenido ningún problema","BBVA","Comisiones más bajas;Mejor app;Mejor atención;Mejores tasas","Tasas de rendimiento","5"
"2026/04/26 1:10:08 p.m. GMT-6","18-25","Menos de $10,000 MXN","2","He escuchado el término pero no estoy seguro","Banca tradicional","Klar","Falta de sucursales físicas;Soporte limitado;Riesgo tecnológico (caídas, hackeos)","Tengo usos diferentes para Fintechs y Bancos Tradicionales","Los bancos tradicionales los suelo emplear en caso de tener que llevar a cabo procesos más burócraticos","Comisiones bajas","1","Soporte difícil de contactar","Diseño y facilidad de uso","Atención humana","4","Fraude o cargo no autorizado","BBVA","Comisiones más bajas;Mejor app;Mejores tasas;Mala experiencia con mi banco actual","Ninguno","4"
"2026/04/26 1:11:15 p.m. GMT-6","18-25","Menos de $10,000 MXN","2","Si","Banca tradicional","Mercado pago","Regulación o respaldo institucional (IPAB);Riesgo tecnológico (caídas, hackeos)","No","NA","Recompensas","1","Tiempos de carga;Errores o caídas","Nada en particular","Depende del tipo de problema","3","No he tenido ningún problema","BBVA","Recompensas más atractivas;Recomendación cercana;Mejores tasas","Acceso anticipado a productos;Descuentos en comercios;Tasas de rendimiento","4"
"2026/04/26 1:19:13 p.m. GMT-6","18-25","Menos de $10,000 MXN","2","He escuchado el término pero no estoy seguro","Banca tradicional","Mercado pago","Seguridad de mi dinero;Falta de sucursales físicas;Soporte limitado;Regulación o respaldo institucional (IPAB);Riesgo tecnológico (caídas, hackeos)","No","NA","Rápidez","5","Tiempos de carga;Procesos con muchos pasos;Difícil encontrar funciones","Seguridad (biometría, alertas)","Depende del tipo de problema","5","No he tenido ningún problema","BBVA","Mala experiencia con mi banco actual","Cashback;Sin comisiones;Tasas de rendimiento","5"
"2026/04/26 1:20:23 p.m. GMT-6","18-25","Menos de $10,000 MXN","2","Si","Ambos","Mercado pago;Didi pay","Regulación o respaldo institucional (IPAB);Riesgo tecnológico (caídas, hackeos)","Tengo usos diferentes para Fintechs y Bancos Tradicionales","Ventajas en aplicaciones de consumo como Didi o mercado libre.","Confianza institucional","3","Tiempos de carga;Errores o caídas;Difícil encontrar funciones;Soporte difícil de contactar","Seguridad (biometría, alertas)","Atención humana","3","Fraude o cargo no autorizado","Banamex","Mejor app;Mejor atención;Mejores tasas","Acceso anticipado a productos;Sin comisiones","4"
"2026/04/26 1:20:54 p.m. GMT-6","26-40","$20,000MXN–$50,000MXN","3","Si","Ambos","Nu (Nu Bank);Klar","Seguridad de mi dinero;Falta de sucursales físicas;Soporte limitado;Regulación o respaldo institucional (IPAB);Riesgo tecnológico (caídas, hackeos)","Si","Fintechs para rendimientos  y bancos tradicionales para cobros e ingresos/ahorros o pagos específicos ","Rápidez","2","Procesos con muchos pasos;Errores o caídas;Login o autenticación;Soporte difícil de contactar","Velocidad;Diseño y facilidad de uso;Recompensas o cashback","Atención humana","3","Fraude o cargo no autorizado","Banamex","Comisiones más bajas;Mejor atención;Recompensas más atractivas;Límites transaccionales y monto máximo en la cuenta ","Cashback;Sin comisiones;Tasas de rendimiento","5"
"2026/04/26 1:30:05 p.m. GMT-6","18-25","$20,000MXN–$50,000MXN","4 o más","Si","Fintechs","Nu (Nu Bank);Mercado pago;Klar;Albo","Ninguna","Si","NA","Rápidez","3","Tiempos de carga;Procesos con muchos pasos;Errores o caídas;Difícil encontrar funciones","Velocidad;Diseño y facilidad de uso;Funciones disponibles;Seguridad (biometría, alertas);Recompensas o cashback","Atención humana","4","No he tenido ningún problema","No uso bancos","Mala experiencia con mi banco actual","Ninguno","1"
"2026/04/26 1:43:03 p.m. GMT-6","18-25","Prefiero no decir","4 o más","Si","Fintechs","Nu (Nu Bank);Klar;Didi Card","Riesgo tecnológico (caídas, hackeos)","Si","NA","Rápidez","1","Difícil encontrar funciones","Diseño y facilidad de uso","Atención humana","5","No he tenido ningún problema","Banamex","Recompensas más atractivas","Cashback;Tasas de rendimiento","1"
"2026/04/26 1:43:16 p.m. GMT-6","18-25","Menos de $10,000 MXN","1","No","Banca tradicional","Ninguno","Ninguna","No","NA","NA","1","Nada me frustró","Funciones disponibles;Seguridad (biometría, alertas)","Depende del tipo de problema","4","No he tenido ningún problema","Banamex","Mala experiencia con mi banco actual","Ninguno","4"
"2026/04/26 1:46:52 p.m. GMT-6","18-25","Menos de $10,000 MXN","2","No","Banca tradicional","Clip","Ninguna","No","NA","Rápidez","2","Nada me frustró","Velocidad;Funciones disponibles","Atención humana","3","Fraude o cargo no autorizado","Banorte","Comisiones más bajas;Recompensas más atractivas;Mejores tasas","Tasas de rendimiento","3"
